PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,ReusedCount,landing_location,year,month,Outcome
13260.0,5.0,0.0,1,False,False,False,2.0,0,0.0,2010,6,False
525.0,5.0,0.0,1,False,False,False,2.0,0,0.0,2012,5,False
677.0,4.0,0.0,1,False,False,False,2.0,0,0.0,2013,3,False
500.0,7.0,2.0,1,False,False,False,2.0,0,1.0,2013,9,False
3170.0,2.0,0.0,1,False,False,False,2.0,0,0.0,2013,12,False
3325.0,2.0,0.0,1,False,False,False,2.0,0,0.0,2014,1,False
2296.0,4.0,0.0,1,False,False,True,2.0,0,1.0,2014,4,True
1316.0,5.0,0.0,1,False,False,True,2.0,0,1.0,2014,7,True
4535.0,2.0,0.0,1,False,False,False,2.0,0,0.0,2014,8,False
4428.0,2.0,0.0,1,False,False,False,2.0,0,0.0,2014,9,False
2216.0,4.0,0.0,1,False,False,False,2.0,0,1.0,2014,9,False
2395.0,4.0,0.0,1,True,False,True,3.0,0,0.0,2015,1,False
570.0,0.0,0.0,1,True,False,True,2.0,0,1.0,2015,2,True
1898.0,4.0,0.0,1,True,False,True,3.0,0,0.0,2015,4,False
4707.0,2.0,0.0,1,False,False,False,2.0,0,0.0,2015,4,False
2477.0,4.0,0.0,1,True,False,True,2.0,0,0.0,2015,6,False
2034.0,5.0,0.0,1,True,False,True,0.0,0,2.0,2015,12,True
553.0,7.0,2.0,1,True,False,True,5.0,0,0.0,2016,1,False
5271.0,2.0,0.0,1,True,False,True,2.0,0,0.0,2016,3,False
3136.0,4.0,0.0,1,True,False,True,2.0,1,0.0,2016,4,True
4696.0,2.0,0.0,1,True,False,True,2.0,0,0.0,2016,5,True
3100.0,2.0,0.0,1,True,False,True,2.0,1,0.0,2016,5,True
2257.0,4.0,0.0,1,True,False,True,0.0,1,2.0,2016,7,True
4600.0,2.0,0.0,1,True,False,True,2.0,0,0.0,2016,8,True
5500.0,2.0,0.0,1,True,False,True,2.0,0,0.0,2016,9,False
9600.0,7.0,2.0,1,True,False,True,5.0,1,0.0,2017,1,True
2490.0,4.0,1.0,1,True,False,True,0.0,1,2.0,2017,2,True
5600.0,2.0,1.0,1,False,False,False,2.0,0,0.0,2017,3,False
5300.0,2.0,1.0,2,True,True,True,2.0,1,0.0,2017,3,True
13260.0,5.0,1.0,1,True,False,True,0.0,1,2.0,2017,5,True
6070.0,2.0,1.0,1,False,False,False,2.0,0,0.0,2017,5,False
2708.0,4.0,1.0,1,True,False,True,0.0,1,2.0,2017,6,True
3669.0,2.0,1.0,2,True,True,True,2.0,1,0.0,2017,6,True
9600.0,7.0,2.0,1,True,False,True,5.0,1,0.0,2017,6,True
